name,id,wikipedia_,gender,scale,length
Presidente Raul Alfonsín,"28797605",,Male,"-1.0",676.219016163846
Teniente Coronel Bueras,"28797761",,Male,"-0.5",502.796808618591
Hipólito Bouchard,"28797778",,Male,"-1.0",296.515729800127
Álvar Núñez,"28809288",,Male,"-1.0",1614.54853052504
General Carlos M. de Alvear,"28809292",,Male,"-0.5",971.172861353685
Félix de Álzaga,"28824956",,Male,"-0.49",872.548116267308
Dip. Nac. Domingo Purita,"28824959",,Male,"-0.46",43.4664459751602
Coronel Chilavert,"28824964",,Male,"-1.0",798.462337934321
Francisco Acuña de Figueroa,"29094526",,Male,"-0.5",790.924221538719
Sargento Cabral,"29193975",,Male,"-0.5",1066.68742758894
Amancio Alcorta,"29193976",,Male,"-0.5",850.893054951828
Acevedo,"29193978",,Male,"-0.5",861.774602878485
Coronel Sayos,"29193990",,Male,"-1.0",357.442949858209
Manuel Quintana,"29194056",,Male,"-0.5",114.427926507602
O' Gorman,"29194058",,Male,"-0.5",203.068792199955
Alfredo Lorenzo Palacios,"29194066",,Male,"-1.0",400.808801265432
Alicia Moreau de Justo,"29195925",https://es.wikipedia.org/wiki/Alicia_Moreau_de_Justo,Female,"1.0",206.318529539131
Colón,"29196104",,Male,"-0.5",526.013454093184
Coronel Fraga,"29196206",,Male,"-0.5",7.60829919649434
Monseñor Ayrolo,"32296345",,Male,"-0.5",30.7207181669755
Juan José Paso,"32336410",,Male,"-1.0",1.86715258009013
Coronel Brandsen,"32336414",,Male,"-0.5",93.0710923401584
Coronel Brandsen,"32336417",,Male,"-0.5",261.101469084242
General Güemes,"32336424",,Male,"-0.5",219.167068115268
General Güemes,"32336426",,Male,"-0.5",129.16483016383
Coronel Dorrego,"32336429",,Male,"-1.0",25.762383277002
Intendente Manuel Beguiristain,"32336440",,Male,"-0.5",286.850812692248
José Ingenieros,"32899515",,Male,"-0.3",264.52270012503
Elizalde,"32921412",,Male,"-0.5",116.209027814415
General Lafayette,"32921427",,Male,"-0.5",312.793726082198
General Villegas,"32921467",,Male,"-0.5",224.493959621044
Avenida Leandro N. Alem,"38536781",,Male,"-0.99",336.794349703355
Rodrigo de Triana,"39173654",,Male,"-0.5",205.819468928947
Juan Diaz de Solis,"39965017",,Male,"-0.99",50.056603816904
General Heredia,"40114688",,Male,"-0.5",144.815639420846
General Mansilla,"40118112",,Male,"-0.5",197.014282216636
Julieta Lanteri,"40866243",https://es.wikipedia.org/wiki/Julieta_Lanteri,Female,"1.0",65.2919276247592
Domingo Faustino Sarmiento,"41560750",,Male,"-1.0",68.1544421001763
Avenida Doctor Honorio Pueyrredón,"46934486",,Male,"-0.5",82.2361903623749
Juan Ramírez de Velasco,"46934500",,Male,"-0.99",610.672645894029
Tomás Manuel de Anchorena,"46936314",,Male,"-0.5",52.4995256047873
Marcelo T. de Alvear,"47014558",,Male,"-0.49",277.05091669845
Jorge Newbery,"47083995",,Male,"-1.0",225.462209677902
José León Suárez,"47105606",,Male,"-0.3",661.216831179046
Murillo,"47105615",,Male,"-0.5",51.0029753832857
Vallejos,"47152966",,Male,"-0.48",108.298204253358
Avenida Intendente Hernán M. Giralt,"47400263",,Male,"-0.29",231.161699295519
Avenida Juan Bautista Alberdi,"47402161",,Male,"-0.99",851.473747402151
Alfredo L. Palacios,"47414653",,Male,"-0.99",1260.49271459672
Juan E. Farrel,"47414707",,Male,"-0.99",227.08232276169
Avenida Don Pedro de Mendoza,"48024205",,Male,"-0.49",79.9796185377186
Avenida Bernardino Rivadavia,"48052780",,Male,"-0.5",182.894647891116
Maure,"48114497",,Female,"0.64",122.393403952711
