name,id,wikipedia_link,gender,scale,length
Carrer de Santa Margarida,"4743365",https://es.wikipedia.org/wiki/Margarita_de_Antioqu%C3%ADa,Female,,59.045716666475
Carrer de Sant Gil,"4743386",,Male,,158.431343291034
Carrer de Sant Vicenç,"4743390",,Male,,246.099238350001
Carrer de Sant Erasme,"4743393",,Male,,87.2973921868461
Carrer del Doctor Dou,"4743446",,Male,,177.363730892807
Carrer de Sant Antoni Abat,"4743454",,Male,,204.351568550396
Carrer de Ferran,"4743458",,Male,,321.193792798388
Carrer de Jaume I,"4743459",,Male,,168.296021617172
Carrer de Murillo,"4744779",,Male,,96.8081684570437
Carrer de Joan Gamper,"4744929",,Male,,70.3177602493443
Carrer d'en Santcliment,"4745023",,Male,,100.679583067092
Carrer de la Reina Amàlia,"4745025",https://es.wikipedia.org/wiki/Mar%C3%ADa_Amalia_de_Sajonia,Female,,141.587301845443
Carrer d'Ausiàs Marc,"4745453",,Male,,144.69691507539
Carrer de Roger de Flor,"4745495",,Male,,125.202141596822
Carrer de Sant Pere Més Baix,"4745603",,Male,,183.266912983162
Carrer del Marquès de Campo Sagrado,"4745952",,Male,,116.371087764682
Carrer del Comte Borrell,"4745960",,Male,,86.1749320906144
Carrer del Comte Borrell,"4745963",,Male,,399.637837999912
Carrer d'en Mònec,"4746876",,Male,,125.370712819314
Carrer del Bou de Sant Pere,"4746879",,Male,,89.445650281012
Carrer de la Mare de Déu del Pilar,"4746882",https://es.wikipedia.org/wiki/Virgen_del_Pilar,Female,,133.955045697619
Carrer de Buenaventura Muñoz,"4746907",,Male,,400.389920137876
Carrer de Xifré,"4746925",,Male,,545.038610773571
Carrer del Coronel Sanfeliu,"4746939",,Male,,127.509591417363
Carrer de Los Castillejos,"4746950",,Male,,234.915056586302
Carrer de Pau Claris,"4747009",,Male,,63.2699919881159
Carrer de Joan Massana,"4747012",,Male,,45.1502076985488
Carrer d'en Rull,"4747016",,Male,,98.4693315122877
Carrer d'en Roca,"4747019",,Male,,181.830879576432
Carrer del Duc,"4747020",,Male,,135.174287384081
Carrer de Domènech,"4747043",,Male,,52.0667311336319
Carrer de Sant Dalmir,"4747101",,Male,,120.068350762912
Carrer de Sant Tomas,"4747107",,Male,,276.564487909984
Carrer de Feliu i Codina,"4747111",,Male,,239.13127391748
Carrer de Martí i Alsina,"4747114",,Male,,173.466847127858
Carrer de Jaume Huguet,"4747131",,Male,,258.802848702844
Carrer del Rabí Rubén,"4747848",,Male,,165.871687665368
Carrer de Rossend Arús,"4747873",,Male,,203.608566808577
Carrer de Puig i Valls,"4747959",,Male,,200.796052609224
Carrer de Melcior de Palau,"4750165",,Male,,145.794522129898
Carrer d'Eusebi Planas,"4750167",,Male,,30.5398095596343
Carrer de Riego,"4750168",,Male,,61.0266159250668
Carrer de Watt,"4750169",,Male,,125.829330626112
Carrer del Tenor Masini,"4750183",,Male,,160.53629629847
carrer de sant Jordi,"4750184",,Male,,38.3494866998608
Carrer de Feliu Casanova,"4750186",,Male,,138.45437861107
Carrer de l'Escultor Canet,"4750187",,Male,,311.026935707348
Carrer del Regent Mendieta,"4750206",,Male,,128.19249353415
Passatge del Regent Mendieta,"4750207",,Male,,25.3352768536016
Carrer del Clos de Sant Francesc,"4750228",,Male,,260.021420871624
Carrer de Sant Liguori,"4750247",,Male,,49.8704422680655
Carrer de Bertran,"4750261",,Male,,549.549147778659
Carrer de Gomis,"4750277",,Male,,481.369177603927
Carrer del Mas Casanovas,"4750304",,Male,,133.603337073765
Carrer de Lluís Sagnier,"4750323",,Male,,13.3562525669776
Carrer de Francesc Tàrrega,"4750327",,Male,,354.641571145756
Carrer de Jordi de Sant Jordi,"4750334",,Male,,90.5285884715369
Carrer de la Comtessa de Pardo Bazán,"4750335",,Male,,166.285672066734
Carrer de Sant Narcís,"4750343",,Male,,195.226353595223
Carrer de Sant Hipòlit,"4750378",,Male,,264.430398067715
Carrer de Mir,"4750394",,Male,,168.932880987012
